setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0975_conventional,ci_0025_robust,ci_0975_robust,ci_0025_bias_corrected,ci_0975_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates
distance_intent2treat_explained_subrule,rdflex_global_linear,0.5489723682403564,,-0.07073115571159594,-0.07263648244186949,-0.07263648244186949,0.010705894046193027,0.010705894046193027,0.013657187670778054,-0.09171432246443606,-0.04974798895875581,-0.09940407840669895,-0.04586888647704003,-0.09361964919470961,-0.05165331568902936,75,1198695184,False,True,True,distance,[]
yieldimprovement_fuzzy_explained,rdrobust,2.1073081493377686,,-0.0775108272682743,-0.09039014918999319,-0.09039014918999319,0.0071562875114203174,0.011145022082250707,0.0071562875114203174,-0.0915368930536719,-0.0634847614828767,-0.11223399107810818,-0.0685463073018782,-0.10441621497539079,-0.07636408340459559,99,2365828300,True,True,False,yieldimprovement,[]
boundarymindist_intent2treat_unexplained,rdflex_lgbm,3.0383994579315186,,-0.06227583627315973,-0.06821579214707268,-0.06821579214707268,0.017233439694519098,0.017233439694519098,0.019882082004951656,-0.09605275740416011,-0.028498915142159346,-0.10718395681444984,-0.02924762747969553,-0.10199271327807308,-0.0344388710160723,61,1498151398,False,False,False,boundarymindist,[]
boundarymindist_fuzzy_unexplained,oracle_neighbour,4.220008850097656e-05,,-0.08510638297872342,,,,,,,,,,,,53,1722995083,True,False,False,boundarymindist,[]
boundarypoint,rdflex_global_linear,0.0041501522064208984,Matrix is not positive definite,,,,,,,,,,,,,4,1966969161,True,True,False,boundarypoint,[]
distance_intent2treat_explained_subrule,rdflex_local_linear,0.5655174255371094,,-0.068298347529273,-0.06927162723098482,-0.06927162723098482,0.009077041103776414,0.009077041103776414,0.011336436943260912,-0.08608902117886447,-0.050507673879681525,-0.09149063535278554,-0.04705261910918409,-0.08706230088057629,-0.051480953581393346,8,153842668,False,True,True,distance,[]
yieldimprovement_intent2treat_explained_subrule,rdflex_global_linear,0.0038590431213378906,Matrix is not positive definite,,,,,,,,,,,,,70,1069158761,False,True,True,yieldimprovement,[]
boundarymindist_intent2treat_unexplained,rdrobustnocovs,0.21274566650390625,,-0.02577120225302809,-0.03043259195141612,-0.03043259195141612,0.010262956350550197,0.012039345152107733,0.010262956350550197,-0.04588622707501311,-0.005656177431043078,-0.05402927484699417,-0.006835909055838068,-0.05054761677340114,-0.010317567129431108,75,1198695184,False,False,False,boundarymindist,[]
yieldimprovement_fuzzy_explained,oracle_neighbour,0.00011658668518066406,,-0.09332862680699283,,,,,,,,,,,,11,1657101622,True,True,False,yieldimprovement,[]
boundarypoint,rdflex_stacking_lgbm,0.004518747329711914,Matrix is not positive definite,,,,,,,,,,,,,87,3903000100,True,True,False,boundarypoint,[]
yieldimprovement_intent2treat_explained,rdflex_lgbm,3.0073392391204834,,-0.03301373477627936,-0.038268423698787676,-0.038268423698787676,0.0038355777896780232,0.0038355777896780232,0.005969757902358652,-0.040531329103950034,-0.025496140448608692,-0.04996893418383402,-0.026567913213741336,-0.04578601802645835,-0.030750829371117006,63,4256594433,False,True,False,yieldimprovement,[]
yieldimprovement_fuzzy_explained,rdflex_lgbm,5.463780879974365,,-0.046535722127759444,-0.041808356735322356,-0.041808356735322356,0.011795163006137158,0.011795163006137158,0.016087975242727683,-0.06965381681156747,-0.023417627443951417,-0.07334020879524064,-0.010276504675404065,-0.06492645141913038,-0.01869026205151433,84,3971928550,True,True,False,yieldimprovement,[]
distance_fuzzy_explained,oracle_kernel,0.7885971069335938,,-0.06442898050645553,,,,,,,,,,,,70,1069158761,True,True,False,distance,[]
