setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0025_robust,ci_0025_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates,ci_0975_conventional,ci_0975_robust,ci_0975_bias_corrected
distance_intent2treat_explained,rdflex_stacking_lgbm,10.985132932662964,,0.10072134372602046,0.11082835278317071,0.11082835278317071,0.03720921885554399,0.03720921885554399,0.042305075208750015,0.02779261487628555,0.02791192901076238,0.03789962393343581,20,2514021257,False,True,False,distance,[],0.17365007257575538,0.19374477655557903,0.1837570816329056
boundarymindist_intent2treat_unexplained,rdflex_stacking_lgbm,10.769323825836182,,0.055892437655234065,0.04121873543785179,0.04121873543785179,0.04785908814658846,0.04785908814658846,0.05698351668438741,-0.03790965144500712,-0.07046690497598482,-0.05258335366238939,91,1334706736,False,False,False,boundarymindist,[],0.14969452675547523,0.1529043758516884,0.13502082453809297
distance_intent2treat_explained,rdrobust,0.1022031307220459,,0.11358357404887133,0.11648925746462377,0.11648925746462377,0.02620111173479927,0.031394994670772766,0.02620111173479927,0.06223033869375499,0.05495619861508222,0.06513602210950742,98,193035875,False,True,False,distance,[],0.16493680940398767,0.17802231631416532,0.16784249281974012
boundarypoint,rdflex_lgbm,3.120116949081421,,3.288418640422566,2.9945197317941097,2.9945197317941097,4.559865272768863,4.559865272768863,4.464133885928556,-5.648753068559314,-5.755021906790697,-5.94265197718777,97,2652205589,True,True,False,boundarypoint,[],12.225590349404447,11.744061370378917,11.93169144077599
yieldimprovement_intent2treat_explained_subrule,rdflex_local_linear,0.0,cutoff out of score range,,,,,,,,,,21,1091097415,False,True,True,yieldimprovement,[],,,
yieldimprovement_intent2treat_explained_subrule,rdrobustnocovs,0.002093076705932617,Matrix is not positive definite,,,,,,,,,,66,3474168509,False,True,True,yieldimprovement,[],,,
yieldimprovement_fuzzy_explained,oracle_kernel,1.7137188911437988,,0.10604431824313591,,,,,,,,,30,1780071613,True,True,False,yieldimprovement,[],,,
boundarymindist_intent2treat_explained,rdflex_stacking_lgbm,10.97650146484375,,0.12870020411170285,0.13689934858834116,0.13689934858834116,0.03725776155476821,0.03725776155476821,0.044806321144150986,0.05567633331977612,0.04908057286606972,0.06387547779641442,23,2594786686,False,True,False,boundarymindist,[],0.2017240749036296,0.2247181243106126,0.2099232193802679
distance_intent2treat_explained,rdflex_lgbm,2.1880688667297363,,0.048004346272913626,0.03648324588005467,0.03648324588005467,0.041447396342513376,0.041447396342513376,0.051148846871232945,-0.03323105781136976,-0.06376665183831612,-0.04475215820422871,35,2617095959,False,True,False,distance,[],0.129239750357197,0.13673314359842548,0.11771864996433806
boundarypoint,rdflex_local_linear,0.696436882019043,,-0.8217861786217885,-0.7161151343674611,-0.7161151343674611,0.7635014343520878,0.7635014343520878,0.8190465247023678,-2.318221492096553,-2.3214168244467976,-2.2125504478422258,96,52000052,True,True,False,boundarypoint,[],0.6746491348529761,0.8891865557118755,0.7803201791073034
boundarypoint,oracle_kernel,2.205204486846924,,0.1083097769789774,,,,,,,,,2,461025354,True,True,False,boundarypoint,[],,,
yieldimprovement_intent2treat_explained,oracle_neighbour,2.5272369384765625e-05,,-0.11250000000000016,,,,,,,,,55,872572239,False,True,False,yieldimprovement,[],,,
yieldimprovement_intent2treat_explained_subrule,rdflex_local_linear,0.0,cutoff out of score range,,,,,,,,,,74,3519764357,False,True,True,yieldimprovement,[],,,
yieldimprovement_intent2treat_explained_subrule,oracle_kernel,0.0,cutoff out of score range,,,,,,,,,,69,2829083382,False,True,True,yieldimprovement,[],,,
yieldimprovement_intent2treat_explained_subrule,rdflex_stacking_lgbm,0.001786947250366211,Matrix is not positive definite,,,,,,,,,,96,52000052,False,True,True,yieldimprovement,[],,,
boundarymindist_intent2treat_unexplained,oracle_neighbour,2.4557113647460938e-05,,0.04111111111111099,,,,,,,,,99,2365828300,False,False,False,boundarymindist,[],,,
yieldimprovement_intent2treat_explained_subrule,rdflex_local_linear,0.0,cutoff out of score range,,,,,,,,,,46,606924150,False,True,True,yieldimprovement,[],,,
